#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Acalyptratae	no	0	0	0	0	0	0
Acaroidea	no	0	0	0	0	0	0
Accipitridae	no	0	0	0	0	0	0
Accipitriformes	no	0	0	0	0	0	0
Achelata	no	0	0	0	0	0	0
Acraea	no	0	0	0	0	0	0
Acrididae	no	0	0	0	0	0	0
Acridomorpha	no	0	0	0	0	0	0
Acrodonta	no	0	0	0	0	0	0
Adephaga	no	0	0	0	0	0	0
Afrotheria	no	1	0	0	0	0	0
Aleocharinae	no	0	0	0	0	0	0
Aleyrodoidea	no	0	0	0	0	0	0
Alpheoidea	no	0	0	0	0	0	0
Ambystoma	no	0	0	0	0	0	0
Americhelydia	no	0	0	0	0	0	0
Amphisbaenia	no	0	0	0	0	0	0
Anareolatae	no	0	0	0	0	0	0
Anatidae	no	0	0	0	0	0	0
Anguimorpha	no	0	0	0	0	0	0
Anomaluromorpha	no	0	0	0	0	0	0
Anomopoda	no	0	0	0	0	0	0
Anopheles	no	0	0	0	0	0	0
Anostraca	no	0	0	0	0	0	0
Anura	no	0	0	0	0	0	0
Aphidinae	no	0	0	0	0	0	0
Aphidomorpha	no	0	0	0	0	0	0
Apidae	no	0	0	0	0	0	0
Apocrita	no	0	0	0	0	0	0
Apodiformes	no	0	0	0	0	0	0
Apoditrysia	no	0	0	0	0	0	0
Arachnida	no	0	0	0	0	0	0
Aradidae	no	0	0	0	0	0	0
Araneae	no	0	0	0	0	0	0
Archaeognatha	no	0	0	0	0	0	0
Arctiinae	no	0	0	0	0	0	0
Argasidae	no	0	0	0	0	0	0
Astacidea	no	0	0	0	0	0	0
Astigmata	no	0	0	0	0	0	0
Athyma	no	0	0	0	0	0	0
Atkinsoniella	no	0	0	0	0	0	0
Atyoidea	no	0	0	0	0	0	0
Azeliinae	no	0	0	0	0	0	0
Bactrocera	no	0	0	0	0	0	0
Balanomorpha	no	0	0	0	0	0	0
Bifurcata	no	0	0	0	0	0	0
Blattodea	no	0	0	0	0	0	0
Bombycidae	no	0	0	0	0	0	0
Bostrichiformia	no	0	0	0	0	0	0
Bovidae	yes	1099	0.48528	0.455344	0.515847	0.437406	0.533073	
Braconidae	no	0	0	0	0	0	0
Bucerotiformes	no	0	0	0	0	0	0
Buprestidae	no	0	0	0	0	0	0
Calliphoridae	no	0	0	0	0	0	0
Callosciurinae	no	1	0	0	0	0	0
Calopterygoidea	no	0	0	0	0	0	0
Calyptratae	no	0	0	0	0	0	0
Canidae	no	6	0	0	0	0	0
Caniformia	no	1	0	0	0	0	0
Carabinae	no	0	0	0	0	0	0
Cardinalidae	no	0	0	0	0	0	0
Caridea	no	0	0	0	0	0	0
Carnivora	yes	388	0.17179	0.154466	0.190151	0.1453	0.201992	
Caudata	no	0	0	0	0	0	0
Cavilabiata	no	0	0	0	0	0	0
Cephalophus	no	2	0	0	0	0	0
Cerambycinae	no	0	0	0	0	0	0
Cercopithecidae	no	0	0	0	0	0	0
Cervus	no	0	0	0	0	0	0
Cetacea	no	0	0	0	0	0	0
Charadriiformes	no	0	0	0	0	0	0
Chelodina	no	0	0	0	0	0	0
Chelonoidis	no	0	0	0	0	0	0
Cherax	no	0	0	0	0	0	0
Chironominae	no	0	0	0	0	0	0
Chrysomus	no	0	0	0	0	0	0
Cicadettinae	no	0	0	0	0	0	0
Cimicomorpha	no	0	0	0	0	0	0
Cingulata	no	2	0	0	0	0	0
Coccinellinae	no	0	0	0	0	0	0
Coenagrionoidea	no	0	0	0	0	0	0
Coleoptera	no	0	0	0	0	0	0
Colubridae	no	0	0	0	0	0	0
Colubroidea	no	0	0	0	0	0	0
Coptotermes	no	0	0	0	0	0	0
Coraciiformes	no	0	0	0	0	0	0
Coreidae	no	0	0	0	0	0	0
Coronuloidea	no	0	0	0	0	0	0
Corvoidea	no	0	0	0	0	0	0
Corvus	no	0	0	0	0	0	0
Cossoidea	no	0	0	0	0	0	0
Crambidae	no	0	0	0	0	0	0
Crangonyctoidea	no	0	0	0	0	0	0
Cricetidae	no	0	0	0	0	0	0
Crocidura	no	0	0	0	0	0	0
Crocodylia	no	0	0	0	0	0	0
Crocodylus	no	0	0	0	0	0	0
Cryptodira	no	0	0	0	0	0	0
Cryptorhynchinae	no	0	0	0	0	0	0
Cucujiformia	no	0	0	0	0	0	0
Cucujoidea	no	0	0	0	0	0	0
Cuculiformes	no	0	0	0	0	0	0
Culex	no	0	0	0	0	0	0
Culicinae	no	0	0	0	0	0	0
Culicomorpha	no	0	0	0	0	0	0
Darevskia	no	0	0	0	0	0	0
Dermacentor	no	0	0	0	0	0	0
Didelphidae	no	0	0	0	0	0	0
Dionycha	no	0	0	0	0	0	0
Dipodidae	no	0	0	0	0	0	0
Diprotodontia	no	0	0	0	0	0	0
Ditrysia	no	0	0	0	0	0	0
Dolichopodidae	no	0	0	0	0	0	0
Emberiza	no	0	0	0	0	0	0
Empidoidea	no	0	0	0	0	0	0
Endopterygota	no	0	0	0	0	0	0
Epeorus	no	0	0	0	0	0	0
Epiprocta	no	0	0	0	0	0	0
Equus	no	2	0	0	0	0	0
Eremias	no	0	0	0	0	0	0
Eulipotyphla	no	4	0	0	0	0	0
Eumantodea	no	0	0	0	0	0	0
Felidae	no	33	0	0	0	0	0
Folivora	no	0	0	0	0	0	0
Fordinae	no	0	0	0	0	0	0
Formicidae	no	0	0	0	0	0	0
Fulgoroidea	no	0	0	0	0	0	0
Galliformes	no	0	0	0	0	0	0
Garrulax	no	0	0	0	0	0	0
Gebiidea	no	0	0	0	0	0	0
Gekkonidae	no	0	0	0	0	0	0
Geometridae	no	0	0	0	0	0	0
Glires	no	0	0	0	0	0	0
Gonodactyloidea	no	0	0	0	0	0	0
Grapsoidea	no	0	0	0	0	0	0
Gruiformes	no	0	0	0	0	0	0
Grus	no	0	0	0	0	0	0
Gryllidea	no	0	0	0	0	0	0
Gymnophiona	no	0	0	0	0	0	0
Hadziida	no	0	0	0	0	0	0
Haemaphysalis	no	0	0	0	0	0	0
Harpalinae	no	0	0	0	0	0	0
Henophidia	no	0	0	0	0	0	0
Hepialoidea	no	0	0	0	0	0	0
Hesperiidae	no	0	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	0	0	0	0	0	0
Hippoboscoidea	no	0	0	0	0	0	0
Hirundo	no	0	0	0	0	0	0
Homininae	yes	37	0.0163166	0.014481	0.0183449	0.0135124	0.0196572	
Hominoidea	no	0	0	0	0	0	0
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	0	0	0	0	0	0
Hymenoptera	no	0	0	0	0	0	0
Hynobius	no	0	0	0	0	0	0
Hypsiglena	no	0	0	0	0	0	0
Hystricomorpha	no	0	0	0	0	0	0
Isotomidae	no	0	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	0	0	0	0	0	0
Lacertibaenia	no	0	0	0	0	0	0
Lampyridae	no	0	0	0	0	0	0
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	no	1	0	0	0	0	0
Lepus	no	0	0	0	0	0	0
Lethe	no	0	0	0	0	0	0
Limenitidinae	no	0	0	0	0	0	0
Limenitis	no	0	0	0	0	0	0
Lonchura	no	0	0	0	0	0	0
Lorisiformes	no	0	0	0	0	0	0
Lucanidae	no	0	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	0	0	0	0	0	0
Lycosoidea	no	0	0	0	0	0	0
Macaca	no	0	0	0	0	0	0
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	0	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	0	0	0	0	0	0
Mantidae	no	0	0	0	0	0	0
Martes	no	2	0	0	0	0	0
Megachiroptera	no	0	0	0	0	0	0
Meliphagoidea	no	0	0	0	0	0	0
Merostomata	no	0	0	0	0	0	0
Metatheria	no	0	0	0	0	0	0
Microcebus	no	1	0	0	0	0	0
Microchiroptera	no	2	0	0	0	0	0
Microhylidae	no	0	0	0	0	0	0
Microtus	no	0	0	0	0	0	0
Muridae	no	4	0	0	0	0	0
Mus	no	0	0	0	0	0	0
Muscicapidae	no	0	0	0	0	0	0
Mustela	no	1	0	0	0	0	0
Mustelidae	no	6	0	0	0	0	0
Myomorpha	no	0	0	0	0	0	0
Myotis	no	0	0	0	0	0	0
Myrmeleontidae	no	0	0	0	0	0	0
Myrmicinae	no	0	0	0	0	0	0
Nasutitermes	no	0	0	0	0	0	0
Nematocera	no	0	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	0	0	0	0	0	0
Neognathae	no	0	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	0	0	0	0	0	0
Noctuidae	no	0	0	0	0	0	0
Nolidae	no	0	0	0	0	0	0
Notodontidae	no	0	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	0	0	0	0	0	0
Obtectomera	no	0	0	0	0	0	0
Ochthebius	no	0	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	no	0	0	0	0	0	0
Oestroidea	no	0	0	0	0	0	0
Olethreutinae	no	0	0	0	0	0	0
Orbiculariae	no	0	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	0	0	0	0	0	0
Otariidae	no	5	0	0	0	0	0
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	0	0	0	0	0	0
Pamphagidae	no	0	0	0	0	0	0
Panheteroptera	no	0	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	0	0	0	0	0	0
Papilionidae	no	0	0	0	0	0	0
Papilioninae	no	0	0	0	0	0	0
Papilionoidea	no	0	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	0	0	0	0	0	0
Parnassiinae	no	0	0	0	0	0	0
Passeriformes	no	0	0	0	0	0	0
Passeroidea	no	0	0	0	0	0	0
Pecora	no	3	0	0	0	0	0
Pelecaniformes	no	0	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	0	0	0	0	0	0
Perissodactyla	no	0	0	0	0	0	0
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	0	0	0	0	0	0
Phlaeothripidae	no	0	0	0	0	0	0
Phocidae	no	1	0	0	0	0	0
Phrynocephalus	no	0	0	0	0	0	0
Phyllostomidae	no	0	0	0	0	0	0
Phymatidae	no	0	0	0	0	0	0
Piciformes	no	0	0	0	0	0	0
Pieridae	no	0	0	0	0	0	0
Pitheciidae	no	0	0	0	0	0	0
Platypezoidea	no	0	0	0	0	0	0
Platyrrhini	no	4	0	0	0	0	0
Plecoptera	no	0	0	0	0	0	0
Pleocyemata	no	0	0	0	0	0	0
Plethodontidae	no	1	0	0	0	0	0
Poduromorpha	no	0	0	0	0	0	0
Prioninae	no	0	0	0	0	0	0
Proboscidea	yes	163	0.0720423	0.0642369	0.0807289	0.0600694	0.0862737	
Procellariiformes	no	0	0	0	0	0	0
Proechimys	no	0	0	0	0	0	0
Protobothrops	no	0	0	0	0	0	0
Psittaciformes	no	0	0	0	0	0	0
Psoroptidia	no	0	0	0	0	0	0
Psychodoidea	no	0	0	0	0	0	0
Pteropodidae	no	0	0	0	0	0	0
Pteropodinae	no	0	0	0	0	0	0
Pyralidae	no	0	0	0	0	0	0
Pyrgomorphoidea	no	0	0	0	0	0	0
Rana	no	0	0	0	0	0	0
Ranoidea	no	0	0	0	0	0	0
Rattus	no	0	0	0	0	0	0
Reduvioidea	no	0	0	0	0	0	0
Reticulitermes	no	0	0	0	0	0	0
Rhacophoridae	no	0	0	0	0	0	0
Rhinolophus	no	1	0	0	0	0	0
Rodentia	no	0	0	0	0	0	0
Ruminantia	no	0	0	0	0	0	0
Salamandridae	no	0	0	0	0	0	0
Sarcophaga	no	0	0	0	0	0	0
Saturniidae	no	0	0	0	0	0	0
Satyrini	no	0	0	0	0	0	0
Scandentia	no	0	0	0	0	0	0
Scarabaeiformia	no	0	0	0	0	0	0
Sciaroidea	no	0	0	0	0	0	0
Scincidae	no	0	0	0	0	0	0
Sciurinae	no	0	0	0	0	0	0
Setisura	no	0	0	0	0	0	0
Silphidae	no	0	0	0	0	0	0
Sinopodisma	no	0	0	0	0	0	0
Smerinthinae	no	0	0	0	0	0	0
Sorex	no	0	0	0	0	0	0
Sphenisciformes	no	0	0	0	0	0	0
Staphyliniformia	no	0	0	0	0	0	0
Stratiomyidae	no	0	0	0	0	0	0
Strepsirrhini	no	0	0	0	0	0	0
Sturnidae	no	0	0	0	0	0	0
Suina	yes	572	0.252757	0.229753	0.277005	0.217316	0.291792
Sylvioidea	no	0	0	0	0	0	0
Syrphidae	no	0	0	0	0	0	0
Syrphinae	no	0	0	0	0	0	0
Tabaninae	no	0	0	0	0	0	0
Tarsiiformes	no	0	0	0	0	0	0
Tenthredinidae	no	0	0	0	0	0	0
Tephritidae	no	0	0	0	0	0	0
Termitidae	no	0	0	0	0	0	0
Termitinae	no	0	0	0	0	0	0
Testudines	no	0	0	0	0	0	0
Testudinoidea	no	0	0	0	0	0	0
Tetrigoidea	no	0	0	0	0	0	0
Tettigoniidea	no	0	0	0	0	0	0
Tettigonioidea	no	0	0	0	0	0	0
Thraupidae	no	0	0	0	0	0	0
Thripidae	no	0	0	0	0	0	0
Tinamiformes	no	0	0	0	0	0	0
Tingoidea	no	0	0	0	0	0	0
Tipuloidea	no	0	0	0	0	0	0
Tortricidae	no	0	0	0	0	0	0
Toxicofera	no	0	0	0	0	0	0
Trachypithecus	no	0	0	0	0	0	0
Turdus	no	0	0	0	0	0	0
Tylopoda	no	0	0	0	0	0	0
Typhlatya	no	0	0	0	0	0	0
Tyrannidae	no	0	0	0	0	0	0
Unipeltata	no	0	0	0	0	0	0
Ursidae	no	2	0	0	0	0	0
Vermilingua	no	0	0	0	0	0	0
Vespoidea	no	0	0	0	0	0	0
Viperidae	no	0	0	0	0	0	0
Xanthoidea	no	0	0	0	0	0	0
Xenopus	no	0	0	0	0	0	0
Xerinae	no	0	0	0	0	0	0
Yponomeutoidea	no	0	0	0	0	0	0
Zygaenidae	no	0	0	0	0	0	0
Zygentoma	no	0	0	0	0	0	0
