Family	What	SampleID	Skeletal	Location	Verdict
Ailuridae	Red Pandas	22		China	Unlikely
Anomaluridae	African Rodents	593		Africa	Unlikely
Antilocapridae	Antilops	4		North America	Unlikely
Atelidae	New World Monkeys	274		Tropics	Unlikely
Balaenopteridae	Whales	240		Ocean	Unlikely
Bovidae		694	Yes		Likely
Bradypodidae	Sloth	179		South America	Unlikely
Caenolestidae	Opossum	1		South America	Unlikely
Camelidae		451		Asia	Possible
Canidae		682	Yes		Likely
Castoridae		15	Yes		Likely
Cebidae	New World Monkeys	521		Tropics	Unlikely
Cercopithecidae	Old World Monkeys	700		China, India, Africa	Unlikely
Cervidae		661	Yes		Likely
Cheirogaleidae	Lemurs	501		Madagaskar	Unlikely
Chlamyphoridae	Armadillo	439		South America	Unlikely
Chrysochloridae	Golden Mole	88		Sub Saharan Africa	Unlikely
Cricetidae		651	Yes		Likely
Dasypodidae	Armadillo	129		Central, South America	Unlikely
Dasyuridae	Marsupials	670		Australia, New Guinea	Unlikely
Delphinidae	Dolphins	401		Ocean	Unlikely
Didelphidae	Opossum	333		America	Unlikely
Dipodidae		481	Yes		Likely
Dugongidae	Dugong	8		East Africa-Philipines	Unlikely
Echimyidae	Rodent	575		Central and South America	Unlikely
Elephantidae		622	Yes		Likely
Equidae		630	Yes		Likely
Erinaceidae		453	Yes		Likely
Eupleridae	Malagasy carnivores	496			Unlikely
Felidae		668	Yes		Likely
Galagidae		8		sub-Sahara Africa	Unlikely
Giraffidae		230		sub-Sahara Africa	Unlikely
Gliridae	Rodent	151		Africa, Asia, Europe	Possible
Herpestidae	Mongooses	533		Africa, South Asia	Unlikely
Hippopotamidae		103		Pleistocene Megafauna	Possible
Hipposideridae		187		In the tropics	Unlikely
Hominidae		702	Yes		Likely
Hyaenidae		628	Yes		Likely
Hylobatidae	Lesser Apes	176		In the tropics	Unlikely
Hystricidae	porcupines	11		Southeast Asia to Flores	Unlikely
Indriidae		233		Madagaskar	Unlikely
Lemuridae		546		Madagaskar	Unlikely
Lepilemuridae		508		Madagaskar	Unlikely
Leporidae		423	Yes		Likely
Lorisidae	Insect Eaters	223		Tropical	Unlikely
Macropodidae	Marsupials	17		Australia, New Guinea	Unlikely
Macroscelididae	Elephant Shrews	512		Africa	Unlikely
Manidae	Pangolins	442		Africa, India, China, SE Asia	Unlikely
Megalonychidae	Sloth	188		Central Amerca, SA	Unlikely
Mephitidae	Skunks	220		ndonesia and the Philippines	Unlikely
Molossidae		43		Everywhere, in Caves, but mostly tropics	Possible
Moschidae	Moschidaemusk deer	311		Central and NE Asia	Possible
Muridae		665		Everywhere	Possible
Mustelidae		715	Yes		Likely
Myocastoridae		1		South America	Unlikely
Myrmecophagidae	Anteater	17		Central and South America	Unlikely
Nandiniidae	African palm civet	25		Africa	Unlikely
Ochotonidae		226	Yes		Likely
Octodontidae	Rodents, Rock Rats	5		South America	Unlikely
Odobenidae	Odobenidaewalruses	5		Polar region	Unlikely
Otariidae	Eared seals	501		Every coast	Unlikely
Phocidae	Earless seals	665		polar, subpolar coast, Baikal	Possible
Phocoenidae	Porpoises	134		temperate or subtropical waters	Unlikely
Phyllostomidae	Bats	672		tropical and subtropical bats	Unlikely
Physeteridae	Whales	60		All Oceands	Unlikely
Pitheciidae	New World Monkeys	318		Amazon region of Brazil	Unlikely
Platanistidae	River Dolphins	2		Atlantic South America	Unlikely
Procaviidae	Rock Rabbit	66		Africa and the Middle East	Unlikely
Procyonidae	Raccoons	423		New World	Unlikely
Pteropodidae		616	Yes		Likely
Rhinocerotidae		655	Yes		Likely
Rhinolophidae	horseshoe bats	538		Old World	Possible
Sciuridae		661	Yes		Likely
Soricidae	Siberian shrew	649		Siberia, Mongolia	Possible
Spalacidae		459	Yes		Likely
Suidae		495			Possible
Talpidae		536	Yes		Likely
Tapiridae		134		SE Asia, Africa	Unlikely
Tarsiidae	Small Primates	352		Southeast Asia, including the Philippines	Unlikely
Tayassuidae	Peccary	1		south to central Argentina	Unlikely
Tragulidae	mouse-deer	300		tropical forests	Unlikely
Tupaiidae	Tree Shrew	229		Thailand, Malaysia, and Indonesia	Unlikely
Ursidae		688	Yes		Likely
Vespertilionidae		659		Everywhere	Possible
Viverridae	Old World family of small animals	600		Africa and South Asia (Warm)	Unlikely
Ziphiidae	beaked whale	432		All the oceans	Unlikely
